k,ratio,size,cluster_id
2,0.9705882352941176,201,0
2,1.2613636363636365,199,1
3,1.206896551724138,128,1
3,1.0923076923076922,136,2
3,1.0298507462686568,136,0
4,1.1224489795918366,104,0
4,1.0204081632653061,99,2
4,1.0833333333333333,100,3
4,1.2045454545454546,97,1
5,1.5,45,3
5,0.9574468085106383,92,0
5,1.2432432432432432,83,4
5,0.9459459459459459,72,1
5,1.1176470588235294,108,2
6,1.3,46,5
6,0.813953488372093,78,4
6,1.0454545454545454,90,3
6,1.0416666666666667,49,1
6,1.4444444444444444,66,0
6,1.21875,71,2
7,1.45,49,2
7,0.9142857142857143,67,6
7,1.2,44,4
7,0.8823529411764706,64,0
7,1.0625,33,5
7,1.0666666666666667,93,3
7,1.5,50,1
